seuil_ecart,seuil_pct,granularite,classe,accuracy
0.5,5.0,annuel,Diminution,15.4
0.5,5.0,annuel,Stable,59.3
0.5,5.0,annuel,Augmentation,54.8
0.5,5.0,annuel,Global,33.4
0.5,5.0,semestriel,Diminution,49.5
0.5,5.0,semestriel,Stable,35.0
0.5,5.0,semestriel,Augmentation,62.0
0.5,5.0,semestriel,Global,49.5
0.5,5.0,trimestriel,Diminution,52.0
0.5,5.0,trimestriel,Stable,48.3
0.5,5.0,trimestriel,Augmentation,53.5
0.5,5.0,trimestriel,Global,51.6
0.5,5.0,mensuel,Diminution,63.8
0.5,5.0,mensuel,Stable,45.0
0.5,5.0,mensuel,Augmentation,51.3
0.5,5.0,mensuel,Global,60.4
0.5,10.0,annuel,Diminution,27.4
0.5,10.0,annuel,Stable,0.5
0.5,10.0,annuel,Augmentation,91.3
0.5,10.0,annuel,Global,40.0
0.5,10.0,semestriel,Diminution,50.4
0.5,10.0,semestriel,Stable,28.7
0.5,10.0,semestriel,Augmentation,64.0
0.5,10.0,semestriel,Global,49.2
0.5,10.0,trimestriel,Diminution,51.1
0.5,10.0,trimestriel,Stable,39.7
0.5,10.0,trimestriel,Augmentation,62.2
0.5,10.0,trimestriel,Global,50.9
0.5,10.0,mensuel,Diminution,63.6
0.5,10.0,mensuel,Stable,45.1
0.5,10.0,mensuel,Augmentation,51.4
0.5,10.0,mensuel,Global,60.3
0.5,15.0,annuel,Diminution,22.8
0.5,15.0,annuel,Stable,0.7
0.5,15.0,annuel,Augmentation,93.5
0.5,15.0,annuel,Global,35.7
0.5,15.0,semestriel,Diminution,49.2
0.5,15.0,semestriel,Stable,18.9
0.5,15.0,semestriel,Augmentation,71.9
0.5,15.0,semestriel,Global,47.7
0.5,15.0,trimestriel,Diminution,52.4
0.5,15.0,trimestriel,Stable,36.5
0.5,15.0,trimestriel,Augmentation,61.3
0.5,15.0,trimestriel,Global,51.0
0.5,15.0,mensuel,Diminution,64.5
0.5,15.0,mensuel,Stable,41.5
0.5,15.0,mensuel,Augmentation,52.8
0.5,15.0,mensuel,Global,60.6
0.5,20.0,annuel,Diminution,22.9
0.5,20.0,annuel,Stable,0.0
0.5,20.0,annuel,Augmentation,94.4
0.5,20.0,annuel,Global,35.1
0.5,20.0,semestriel,Diminution,61.5
0.5,20.0,semestriel,Stable,13.4
0.5,20.0,semestriel,Augmentation,70.4
0.5,20.0,semestriel,Global,53.0
0.5,20.0,trimestriel,Diminution,44.9
0.5,20.0,trimestriel,Stable,52.8
0.5,20.0,trimestriel,Augmentation,47.4
0.5,20.0,trimestriel,Global,46.7
0.5,20.0,mensuel,Diminution,65.4
0.5,20.0,mensuel,Stable,38.9
0.5,20.0,mensuel,Augmentation,53.3
0.5,20.0,mensuel,Global,61.0
1.0,5.0,annuel,Diminution,18.4
1.0,5.0,annuel,Stable,47.0
1.0,5.0,annuel,Augmentation,61.6
1.0,5.0,annuel,Global,35.8
1.0,5.0,semestriel,Diminution,50.3
1.0,5.0,semestriel,Stable,38.6
1.0,5.0,semestriel,Augmentation,59.8
1.0,5.0,semestriel,Global,49.5
1.0,5.0,trimestriel,Diminution,52.3
1.0,5.0,trimestriel,Stable,45.0
1.0,5.0,trimestriel,Augmentation,56.8
1.0,5.0,trimestriel,Global,51.5
1.0,5.0,mensuel,Diminution,65.7
1.0,5.0,mensuel,Stable,31.3
1.0,5.0,mensuel,Augmentation,61.7
1.0,5.0,mensuel,Global,60.1
1.0,10.0,annuel,Diminution,17.9
1.0,10.0,annuel,Stable,45.5
1.0,10.0,annuel,Augmentation,65.1
1.0,10.0,annuel,Global,36.2
1.0,10.0,semestriel,Diminution,50.7
1.0,10.0,semestriel,Stable,36.3
1.0,10.0,semestriel,Augmentation,61.6
1.0,10.0,semestriel,Global,49.5
1.0,10.0,trimestriel,Diminution,52.3
1.0,10.0,trimestriel,Stable,44.3
1.0,10.0,trimestriel,Augmentation,56.1
1.0,10.0,trimestriel,Global,51.2
1.0,10.0,mensuel,Diminution,65.7
1.0,10.0,mensuel,Stable,31.2
1.0,10.0,mensuel,Augmentation,61.6
1.0,10.0,mensuel,Global,60.1
1.0,15.0,annuel,Diminution,16.0
1.0,15.0,annuel,Stable,43.8
1.0,15.0,annuel,Augmentation,64.5
1.0,15.0,annuel,Global,34.8
1.0,15.0,semestriel,Diminution,52.4
1.0,15.0,semestriel,Stable,31.8
1.0,15.0,semestriel,Augmentation,62.5
1.0,15.0,semestriel,Global,49.5
1.0,15.0,trimestriel,Diminution,55.6
1.0,15.0,trimestriel,Stable,39.8
1.0,15.0,trimestriel,Augmentation,57.3
1.0,15.0,trimestriel,Global,52.6
1.0,15.0,mensuel,Diminution,66.5
1.0,15.0,mensuel,Stable,39.3
1.0,15.0,mensuel,Augmentation,52.0
1.0,15.0,mensuel,Global,61.2
1.0,20.0,annuel,Diminution,26.3
1.0,20.0,annuel,Stable,22.4
1.0,20.0,annuel,Augmentation,73.3
1.0,20.0,annuel,Global,36.3
